RELIANCE.BO,TCS.BO,INFY.BO,HDFCBANK.BO,ICICIBANK.BO,SBIN.BO,BHARTIARTL.BO,LT.BO
193.6940308,1000.169189,379.5838013,459.1228333,263.9814758,261.2800598,393.7779541,1031.329712
194.4698486,985.1172485,375.7935181,458.5436096,261.427887,262.5864258,396.3423767,1010.655457
194.3440094,943.5817261,374.2241821,453.9986877,259.6278076,262.2260132,385.6573486,1004.744263
185.6841583,926.2242432,365.8716736,448.7632141,260.4231873,258.982605,382.2381897,979.513855
183.6607361,924.7765503,367.7839661,446.8694458,260.2557373,260.4240723,378.4865112,974.2660522
184.4994659,932.7979126,366.7635193,452.238678,262.0139465,255.9643555,379.4837646,1006.272461
183.8913879,936.2084351,364.0365601,451.5926208,261.0511475,249.7927399,379.531311,994.7674561
184.3946075,951.4698486,342.3749084,448.5180969,257.9533386,248.3511963,379.1988831,968.6143799
183.3776398,952.7652588,340.6169434,448.5180969,253.181076,240.6929169,372.2655334,961.5787354
181.3751678,950.5742798,336.3892517,447.381897,273.4841309,245.4230194,380.6710205,960.3963623
178.4920502,947.1829224,336.4321594,442.8815613,276.4144592,244.8824463,368.0390015,954.3123779
180.9243622,939.9423828,333.1392212,440.7650146,277.3354187,243.3057404,362.4827576,941.4520874
186.7116241,944.6868896,342.0404358,445.9783325,275.5771484,249.8377686,373.215271,940.2988281
186.8059692,959.986084,337.3153992,439.9630737,274.9073792,245.1978302,367.4216919,946.5847778
184.3631744,938.4946899,329.7261658,431.942688,261.3023071,239.0261383,370.3659973,902.3234253
182.2978058,969.1509399,333.2077637,424.0559082,254.9393158,235.4223022,373.6901855,904.2553711
195.5953674,964.3494873,335.8147888,437.8688049,265.362915,235.8728027,377.9642334,921.1525269
196.8811951,973.9142456,341.6459961,441.5002441,270.763092,248.7115631,376.3970337,931.0715942
190.8587952,960.7294922,334.374054,433.0342712,258.3300781,240.9181976,371.8381042,899.4111938
194.4744415,960.2531128,335.4631348,441.2328796,265.7815247,246.9997101,363.2901001,917.5769043
193.0897217,952.6317139,331.7928772,441.789917,263.8140259,252.8559418,366.1394043,911.5795288
192.0896454,956.328064,336.1148071,441.1884155,261.804657,258.8924866,372.740387,917.4904785
195.7272491,960.0249023,341.6031494,449.6543579,264.6512451,260.1538086,378.0116882,928.8224487
196.8262329,957.2050781,346.1309509,448.5404053,263.8977051,259.7483215,377.7267456,933.7245483
199.4417877,974.5814209,350.6845093,456.2488708,266.8699341,262.9017944,379.9111938,930.5236816
197.1339722,974.6191406,350.4530334,456.8057861,262.390686,260.694397,376.2545776,942.2884521
198.3977814,998.2067261,350.1871643,456.9840393,262.390686,254.4777222,375.2098389,952.1209106
196.5404968,991.2902832,346.1052551,456.026062,261.3441467,250.1981659,379.9111938,939.5203857
194.4414825,993.1768799,344.6131897,457.2959595,259.5022278,249.7927399,380.7185364,933.2631226
194.9469757,997.0637817,337.7099304,462.4424133,262.3489075,252.8559418,387.984314,942.2304688
192.7050934,994.5484009,345.4707031,458.6104431,263.3535156,253.1753235,381.1459351,939.1740723
192.7929993,994.7959595,346.8598938,468.3462524,265.6559753,253.7682953,403.9406128,954.6294556
198.1120148,997.0064697,350.8559875,461.684967,264.8605652,253.7682953,395.3925781,983.5506592
197.5295868,990.9282227,344.5274048,449.4537964,255.0648651,242.9114532,396.9597473,964.4046021
196.9141541,994.8532104,346.980011,447.6268616,247.8227081,234.9740448,400.0939941,953.2166138
200.5627441,993.1199951,347.828949,452.305481,248.1213226,235.0196838,395.4400635,957.8591309
199.14505,998.612854,345.0933228,450.9465027,242.7041931,235.2021179,394.5852661,970.1713867
194.573349,1001.058289,343.0610046,446.8248901,241.6378174,232.5107574,389.9313965,967.432251
194.2766266,993.0809937,341.740387,445.6886292,244.9222412,234.8372192,387.3194275,961.4346313
